Issue Type|Summary|Key|Assignee|Reporter|Priority|Status|Resolution|Created|Updated|Due date|parent|Resolved|Status Category Changed|Linked Issues|Parent Link
Enhancement|Update Product Rate Card Power BI report|DBAAS-6689|Eduardo Silva|Pooja Chanana|Medium|Done|Done|2021-09-03 18:51:49.704|2021-10-19 19:25:14.961|||2021-09-17 14:32:31.424|2021-09-17 14:32:31.428||
Enabler Story|Review status & Passwords of attestation of all database instances	-	Leadership Report. PBI|DBAAS-6525|Eduardo Silva|Fabian Ponce|Medium|Done|Done|2021-08-26 17:50:29.778|2021-09-29 17:56:40.372||DBAAS-5814|2021-09-29 17:56:40.368|2021-09-29 17:56:40.372||
Enabler Story|Review status attestation of all database instancesv - View a historical report of all actions by service. Power BI|DBAAS-6523|Eduardo Silva|Fabian Ponce|Medium|Done|Done|2021-08-26 17:50:11.974|2021-10-21 06:50:41.064||DBAAS-5814|2021-10-21 06:50:41.060|2021-10-21 06:50:41.064||
Enabler Story|Review status of attestation of all database instances	- View a report of all actions by service. Power BI|DBAAS-6521|Eduardo Silva|Fabian Ponce|Medium|Done|Done|2021-08-26 17:49:52.125|2021-10-21 06:50:45.622||DBAAS-5814|2021-10-21 06:50:45.619|2021-10-21 06:50:45.622||
Enabler Story|Notification. Escalation e-mail	-	Send escalation e-mail notification to Portfolio Owner 7 days prior to 90 days after the last attestation.|DBAAS-6519|Eduardo Silva|Fabian Ponce|Medium|Done|Done|2021-08-26 17:48:35.176|2021-09-27 15:48:14.078||DBAAS-5814|2021-09-27 15:46:43.246|2021-09-27 15:46:43.250||
Enabler Story|Notification. e-mail 14 days prior to 90 days	- Send e-mail notification to IT Service Owner 14 days prior to 90 days after the last attestation. (P-Automate)|DBAAS-6516|Eduardo Silva|Fabian Ponce|Medium|Done|Done|2021-08-26 17:48:10.101|2021-09-27 15:46:37.087||DBAAS-5814|2021-09-27 15:46:37.081|2021-09-27 15:46:37.087||
Enabler Story|Review status of attestation of all database instances - List all database instances. (PBI)|DBAAS-6515|Eduardo Silva|Fabian Ponce|Medium|Done|Done|2021-08-26 17:48:01.359|2021-09-29 17:57:19.332||DBAAS-5814|2021-09-29 17:57:19.327|2021-09-29 17:57:19.332|DBAAS-6514|
Subtask|Correct visuals in Managed DBaaS Support Cost Forecast|DBAAS-6489|Eduardo Silva|Ricardo Martinez|Medium|Done|Done|2021-08-20 18:03:40.733|2021-08-23 21:37:04.216||DBAAS-6470|2021-08-23 21:36:10.313|2021-08-23 21:36:10.317||
Subtask|Validate and correct Database Risk Report|DBAAS-6479|Eduardo Silva|Ricardo Martinez|Medium|Done|Done|2021-08-17 16:02:47.044|2021-08-20 17:53:24.737||DBAAS-6470|2021-08-20 17:53:20.059|2021-08-20 17:53:20.065||
Subtask|Validate and correct Support Cost Forecast|DBAAS-6478|Eduardo Silva|Ricardo Martinez|Medium|Done|Done|2021-08-17 16:02:37.874|2021-08-20 17:53:14.423||DBAAS-6470|2021-08-20 17:53:11.705|2021-08-20 17:53:11.709||
Subtask|Check and correct Managed DBaaS Support Cost Report|DBAAS-6475|Eduardo Silva|Ricardo Martinez|Medium|Done|Done|2021-08-17 14:48:07.160|2021-11-05 17:38:24.671||DBAAS-6469|2021-11-05 17:38:24.664|2021-11-05 17:38:24.671||
Subtask|Check and correct Managed DBaaS Supplier Management Report|DBAAS-6474|Eduardo Silva|Ricardo Martinez|Medium|Done|Done|2021-08-17 14:47:56.387|2021-08-25 14:34:36.711||DBAAS-6469|2021-08-25 14:34:36.707|2021-08-25 14:34:36.712||
Enhancement|Update Managed DBaaS Product Rate Card Power BI report|DBAAS-6411|Eduardo Silva|Pooja Chanana|Expedite|Done|Done|2021-08-12 17:20:27.266|2021-09-27 02:35:05.312|||2021-08-16 21:33:44.801|2021-08-16 21:33:44.804||
Enhancement|Update Power BI Report: Managed DBaaS Product Rate Card|DBAAS-6387|Eduardo Silva|Pooja Chanana|Medium|Done|Done|2021-08-09 18:13:19.248|2021-09-27 02:26:27.412|||2021-08-11 21:52:24.586|2021-08-11 21:52:24.591|DBAAS-6385|
Enhancement|Update Managed DBaaS Support Cost Forecast Report|DBAAS-6319|Eduardo Silva|Pooja Chanana|Medium|Done|Done|2021-08-03 13:56:22.031|2021-09-27 02:35:06.755|||2021-08-03 19:54:44.623|2021-08-03 19:54:44.628||
Enabler Story|Design the Power BI Database Instance Recoverability report|DBAAS-6223|Eduardo Silva|Pooja Chanana|Medium|Blocked||2021-07-20 15:40:51.471|2021-11-05 17:57:24.212||DBAAS-6943||2021-11-03 22:58:40.835|DBAAS-6224;DBAAS-6222|
Enhancement|Enhance the DBaaS Database Assets Report with 'Auto Minor Version Update' Column|DBAAS-6164|Eduardo Silva|Pooja Chanana|Medium|Blocked||2021-07-16 14:39:30.372|2021-11-10 19:33:51.129||||2021-07-16 14:44:24.793|DBAAS-2263;DBAAS-5835|
Subtask|Install Slack Client|DBAAS-6046|Eduardo Silva|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:30:17.984|2021-07-14 20:13:00.814||DBAAS-6026|2021-07-14 20:13:00.808|2021-07-14 20:13:00.814||
Subtask|Update GAL and Profile Information|DBAAS-6045|Eduardo Silva|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:30:17.626|2021-07-14 20:13:06.139||DBAAS-6026|2021-07-14 20:13:06.136|2021-07-14 20:13:06.140||
Subtask|Install the Zscaler tool|DBAAS-6032|Eduardo Silva|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:30:13.430|2021-07-14 20:13:10.005||DBAAS-6026|2021-07-14 20:13:09.997|2021-07-14 20:13:10.006||
Subtask|Install tools on developer workstation|DBAAS-6031|Eduardo Silva|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:30:13.058|2021-07-14 20:13:15.908||DBAAS-6026|2021-07-14 20:13:15.903|2021-07-14 20:13:15.909||
Subtask|Request cloud platform server admin account|DBAAS-6030|Eduardo Silva|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:30:12.667|2021-07-14 20:13:21.276||DBAAS-6026|2021-07-14 20:13:21.273|2021-07-14 20:13:21.277||
Subtask|Review and understand important DBaaS documentation (policies, procedures, user guides, etc.)|DBAAS-6029|Eduardo Silva|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:30:12.315|2021-07-14 20:13:25.393||DBAAS-6026|2021-07-14 20:13:25.388|2021-07-14 20:13:25.393||
Enhancement|Enhance the DBaaS Database Assets Report with Additional Columns|DBAAS-5835|Eduardo Silva|Pooja Chanana|Medium|Done|Done|2021-06-24 14:37:10.120|2021-07-17 20:52:57.875|2021-09-17||2021-07-16 19:44:07.841|2021-07-16 19:44:07.848|DBAAS-6164|
Build Story|Develop Report for the Optimization of Oracle Database License Cost|DBAAS-4923|Eduardo Silva|Erik Solis|High|Done|Done|2021-02-26 16:57:31.036|2021-11-12 16:30:58.616|2021-11-19|DBAAS-4507|2021-11-12 16:30:42.922|2021-11-12 16:30:42.928||
Task|Request SQL password reset for PROD environment|DBAAS-7489|Fabian Ponce|Miguel Martinez|Medium|Done|Done|2021-11-09 00:51:31.933|2021-11-09 16:54:40.948|||2021-11-09 16:54:15.439|2021-11-09 16:54:15.445||
Build Story|SQL. Update the SNOW integration SP for dynamic and fixed periods|DBAAS-7483|Fabian Ponce|Miguel Martinez|Medium|Done|Done|2021-11-08 23:21:11.683|2021-11-12 16:37:33.153||DBAAS-5814|2021-11-12 16:36:53.605|2021-11-12 16:36:53.612||
Build Story|SQL. Add columns in the Attestation table for dynamic and fixed periods|DBAAS-7481|Fabian Ponce|Miguel Martinez|Medium|Done|Done|2021-11-08 23:19:22.832|2021-11-12 16:52:03.566|2021-11-16|DBAAS-5814|2021-11-12 16:52:03.557|2021-11-12 16:52:03.566||
Enabler Story|Familiarize with Power Shell Account Collection scripts|DBAAS-7438|Fabian Ponce|Julio Alcala|Medium|In Design||2021-11-05 16:45:33.172|2021-11-16 15:34:37.458|2021-11-19|DBAAS-4462||2021-11-16 15:34:37.458|DBAAS-7507;DBAAS-7508|
Enabler Story|Re-create the Attestation app database objects in the new databse SYNATT schema|DBAAS-7379|Fabian Ponce|Miguel Martinez|Medium|Done|Done|2021-10-28 23:06:09.060|2021-11-02 00:03:19.313|2021-11-05|DBAAS-5814|2021-11-02 00:02:43.793|2021-11-02 00:02:43.802|DBAAS-7376;DBAAS-7377;DBAAS-7378|
Enabler Story|SQL. Modify the SP that send data to P-Automate for email notifications.|DBAAS-7331|Fabian Ponce|Ricardo Martinez|Medium|Done|Done|2021-10-25 17:28:45.213|2021-10-28 02:18:25.395||DBAAS-5814|2021-10-28 02:15:12.709|2021-10-28 02:15:12.715|DBAAS-7330|
Enabler Story|SQL. Create a SP to insert/update the new combobox Rationale option in the Attestation web app|DBAAS-7319|Fabian Ponce|Fabian Ponce|Medium|Done|Done|2021-10-22 16:05:27.990|2021-10-27 14:20:34.541||DBAAS-5814|2021-10-27 14:20:11.661|2021-10-27 14:20:11.669|DBAAS-7316|
Enabler Story|SQL. Modify batch update SP to send the required columns to the Log Table|DBAAS-7203|Fabian Ponce|Ricardo Martinez|Medium|Done|Done|2021-10-19 16:37:24.419|2021-10-22 15:37:48.171||DBAAS-5814|2021-10-22 15:37:31.127|2021-10-22 15:37:31.132|DBAAS-7204;DBAAS-7202|
Enabler Story|SQL. Create Log Table with the required columns|DBAAS-7202|Fabian Ponce|Ricardo Martinez|Medium|Done|Done|2021-10-19 16:36:17.252|2021-10-21 17:48:46.220||DBAAS-5814|2021-10-21 17:48:29.351|2021-10-21 17:48:29.355|DBAAS-7203|
Enabler Story|SQL. Create daily SP that refreshes the data to the Attestation Table|DBAAS-7201|Fabian Ponce|Ricardo Martinez|Medium|Done|Done|2021-10-19 16:25:11.516|2021-10-21 14:24:05.994||DBAAS-5814|2021-10-21 14:23:43.727|2021-10-21 14:23:43.731||
Enhancement|Enhance DBaaS Database Assets Power BI report to display the Cloud Provider version|DBAAS-7172|Fabian Ponce|Pooja Chanana|Medium|In Functional Testing||2021-10-14 19:21:02.266|2021-11-12 16:34:37.715|2021-11-26|||2021-10-29 14:35:21.140|DBAAS-7124|
Enabler Story|SQL. Redesign database structure|DBAAS-7120|Fabian Ponce|Fabian Ponce|Medium|Done|Done|2021-10-12 14:20:18.584|2021-10-14 21:36:13.633||DBAAS-5814|2021-10-14 21:35:46.835|2021-10-14 21:35:46.838||
Enabler Story|SQL. Modify e-Mail SP Notification|DBAAS-7048|Fabian Ponce|Fabian Ponce|Medium|Done|Done|2021-09-28 14:39:18.145|2021-10-12 14:26:31.526||DBAAS-5814|2021-09-28 22:09:32.959|2021-09-28 22:09:32.962||
Enabler Story|SQL. Adapt SP that feeds P-AUTOMATE|DBAAS-7037|Fabian Ponce|Ricardo Martinez|Medium|Done|Done|2021-09-27 15:43:25.536|2021-09-29 17:50:55.082||DBAAS-5814|2021-09-29 17:50:55.079|2021-09-29 17:50:55.083||
Enabler Story|SQL. SP to send log of email notifications|DBAAS-7017|Fabian Ponce|Ricardo Martinez|Medium|Done|Done|2021-09-23 17:34:42.390|2021-10-27 14:40:05.026||DBAAS-5814|2021-10-27 14:39:50.111|2021-10-27 14:39:50.123|DBAAS-7330|
Enabler Story|SQL. Change Attestation table and Massive Update SP for comments instead of review|DBAAS-6951|Fabian Ponce|Ricardo Martinez|Medium|Done|Done|2021-09-20 17:48:27.926|2021-09-28 22:10:44.469||DBAAS-5814|2021-09-22 14:23:29.343|2021-09-22 14:23:29.347||
Enabler Story|SQL. Change messages table to work for Comments instead of Chat|DBAAS-6949|Fabian Ponce|Ricardo Martinez|Medium|Done|Done|2021-09-20 17:20:20.144|2021-09-28 22:10:55.330||DBAAS-5814|2021-09-23 14:10:07.019|2021-09-23 14:10:07.024||
Enhancement|Define CI/CD Pipeline Procedure for Stored Procedure Changes|DBAAS-6733|Fabian Ponce|Pooja Chanana|Medium|Ready for Analysis||2021-09-14 02:08:05.290|2021-10-22 15:21:34.188||DBAAS-6735||2021-09-14 02:08:05.679||
Subtask|"SQL. ""SP/VIEW"". To display data to ""PBI/PAPPS"" by ""[IT Service Owner]"" OR ""[Portfolio Owner]"" AND Dt_Diff_Att >=76 … Not for DBaaS Team Member"|DBAAS-6535|Fabian Ponce|Fabian Ponce|Medium|Done|Done|2021-08-30 16:01:45.987|2021-09-10 15:42:03.085||DBAAS-6513|2021-09-10 15:42:03.081|2021-09-10 15:42:03.085|DBAAS-6536;DBAAS-6534|
Subtask|"SQL. Create table ""DBASS_ACCOUNT_ATTESTATION_LOG"" for tracking status"|DBAAS-6534|Fabian Ponce|Fabian Ponce|Medium|Done|Done|2021-08-30 15:53:27.670|2021-09-17 14:38:05.962||DBAAS-6513|2021-09-17 14:38:05.956|2021-09-17 14:38:05.962|DBAAS-6535;DBAAS-6533|
Subtask|SQL. Extract data from SP to populate work tables.|DBAAS-6533|Fabian Ponce|Fabian Ponce|Medium|Done|Done|2021-08-30 15:43:48.166|2021-09-13 18:04:05.932||DBAAS-6513|2021-09-13 18:04:05.927|2021-09-13 18:04:05.932|DBAAS-6534|
Enabler Story|SECOND PHASE Service-Now. Service request - Create ServiceNow service request assigned to IT Service Owner 14 days prior to 90 days after the last attestation. (TBC)|DBAAS-6518|Fabian Ponce|Fabian Ponce|Medium|Blocked||2021-08-26 17:48:25.315|2021-10-22 15:09:08.000||DBAAS-5814||2021-10-22 15:08:13.068|DBAAS-6306|
Enabler Story|Notification. e-mail 14 days prior to 90 days|DBAAS-6517|Fabian Ponce|Fabian Ponce|Medium|Done|Done|2021-08-26 17:48:18.145|2021-09-28 22:10:49.170||DBAAS-5814|2021-09-20 18:41:41.143|2021-09-20 18:41:41.149||
Enabler Story|Attest - List all database instances with more than 76 days since last attestation with options to attest. PAPPS|DBAAS-6513|Fabian Ponce|Fabian Ponce|Medium|Done|Done|2021-08-26 17:47:37.381|2021-09-28 22:10:52.759||DBAAS-5814|2021-09-20 14:11:24.996|2021-09-20 14:11:25.001|DBAAS-6514;DBAAS-6537|
Subtask|Correct right hand table (Determines Unit Pricing / Cost Per Database Instance By Month/Year) in Managed DBaaS Product Rate Card|DBAAS-6488|Fabian Ponce|Ricardo Martinez|Medium|Done|Done|2021-08-20 17:59:55.899|2021-08-24 20:23:23.481||DBAAS-6470|2021-08-24 20:23:23.476|2021-08-24 20:23:23.482||
Subtask|"Correct ""Annual Budget Unit Rate by Service"" grid in Managed DBaaS Product Rate Card"|DBAAS-6487|Fabian Ponce|Ricardo Martinez|Medium|Done|Done|2021-08-20 17:55:38.938|2021-08-26 15:04:41.485||DBAAS-6470|2021-08-26 15:04:41.479|2021-08-26 15:04:41.485||
Subtask|Check and correct Managed DBaaS Financial Recovery Analyzer|DBAAS-6473|Fabian Ponce|Ricardo Martinez|Medium|Done|Done|2021-08-17 14:47:43.795|2021-08-20 14:15:31.706||DBAAS-6469|2021-08-20 14:15:31.701|2021-08-20 14:15:31.706||
Enabler Story|Research the capability to create a ticket in ServiceNow from the chosen web tool|DBAAS-6306|Fabian Ponce|Pooja Chanana|Medium|Blocked||2021-07-28 21:23:44.655|2021-10-22 15:09:31.563||DBAAS-5814||2021-10-22 15:09:31.563|DBAAS-6518|
Enabler Story|Prototype attestation web app hosted in Microsoft PowerApps |DBAAS-6292|Fabian Ponce|Derek Daigrepont|Medium|Done|Done|2021-07-27 21:56:36.088|2021-08-27 14:57:58.012||DBAAS-5814|2021-08-27 14:57:58.008|2021-08-27 14:57:58.012|DBAAS-6289|
Enabler Story|Research capabilities of hosting attestation web app via Microsoft PowerApps|DBAAS-6289|Fabian Ponce|Derek Daigrepont|Medium|Done|Done|2021-07-27 21:55:56.627|2021-08-09 14:47:37.615||DBAAS-5814|2021-08-09 14:47:37.612|2021-08-09 14:47:37.616|DBAAS-6292|
Subtask|Install Slack Client|DBAAS-6024|Fabian Ponce|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:25:21.675|2021-07-12 16:30:23.189||DBAAS-6004|2021-07-12 16:30:23.176|2021-07-12 16:30:23.189||
Subtask|Update GAL and Profile Information|DBAAS-6023|Fabian Ponce|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:25:21.093|2021-07-12 16:33:41.978||DBAAS-6004|2021-07-12 16:33:39.730|2021-07-12 16:33:39.733||
Subtask|Install the Zscaler tool|DBAAS-6010|Fabian Ponce|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:25:14.302|2021-07-12 16:34:37.554||DBAAS-6004|2021-07-12 16:34:37.550|2021-07-12 16:34:37.554||
Subtask|Install tools on developer workstation|DBAAS-6009|Fabian Ponce|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:25:13.766|2021-07-15 21:23:14.135||DBAAS-6004|2021-07-15 21:23:14.131|2021-07-15 21:23:14.135||
Subtask|Request cloud platform server admin account|DBAAS-6008|Fabian Ponce|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:25:13.257|2021-07-15 21:29:45.042||DBAAS-6004|2021-07-15 21:29:45.039|2021-07-15 21:29:45.043||
Subtask|Review and understand important DBaaS documentation (policies, procedures, user guides, etc.)|DBAAS-6007|Fabian Ponce|Derek Daigrepont|Medium|Done|Done|2021-07-06 16:25:12.651|2021-07-15 21:46:00.109||DBAAS-6004|2021-07-15 21:46:00.106|2021-07-15 21:46:00.110||
Enabler Story|Conceptualize Design for DBAAS-7334|DBAAS-7335|Julio Alcala|Automation for Jira|Medium|Ready for Design||2021-10-25 22:32:22.864|2021-10-26 13:59:59.324||DBAAS-7334||2021-10-25 22:32:24.220||
Feature|Build Collection and Develop Power BI Report to display Pending Maintenance on AWS RDS Database Instances|DBAAS-7334|Julio Alcala|Pooja Chanana|Medium|Ready for Analysis||2021-10-25 22:32:20.866|2021-10-25 23:01:48.584||||2021-10-25 22:32:21.277|DBAAS-7214|
Enabler Story|Evaluate the need of UAT Environment|DBAAS-7199|Julio Alcala|Julio Alcala|Medium|Ready for Analysis||2021-10-19 15:10:44.543|2021-10-20 16:50:13.277||DBAAS-6735||2021-10-19 15:10:44.987||
Enabler Story|Setup the security for each workspace|DBAAS-7197|Julio Alcala|Julio Alcala|Medium|Ready for Analysis||2021-10-19 15:09:24.495|2021-10-22 15:21:18.487||DBAAS-6735||2021-10-19 15:09:24.922||
Build Story|Setup the DEV & UAT Workspace from DBaaS Workspace in the Pipeline|DBAAS-7196|Julio Alcala|Julio Alcala|Medium|Done|Done|2021-10-19 15:09:09.895|2021-11-04 13:57:12.373|2021-11-05|DBAAS-6735|2021-11-04 13:57:12.367|2021-11-04 13:57:12.374||
Enabler Story|Conceptualize Design for DBAAS-6943|DBAAS-6944|Julio Alcala|Automation for Jira|Medium|Done|Done|2021-09-20 13:18:48.198|2021-10-22 14:29:21.185||DBAAS-6943|2021-10-22 14:29:21.181|2021-10-22 14:29:21.185||
Enabler Story|Conceptualize Design for DBAAS-6735|DBAAS-6736|Julio Alcala|Automation for Jira|Medium|Done|Done|2021-09-14 02:12:03.381|2021-10-21 20:45:22.680||DBAAS-6735|2021-10-21 20:45:22.675|2021-10-21 20:45:22.680||
Feature|Implement Procedures Incorporating PowerBI Pipeline in the CI/CD Process|DBAAS-6735|Julio Alcala|Pooja Chanana|Medium|In Design Validation||2021-09-14 02:12:01.303|2021-11-15 03:35:10.149|2021-12-17|||2021-10-06 20:20:37.429||
Enabler Story|Define CI/CD Pipeline Procedure for Power BI Dataset Changes|DBAAS-6734|Julio Alcala|Pooja Chanana|Medium|Done|Done|2021-09-14 02:09:03.136|2021-11-10 15:22:37.951||DBAAS-6735|2021-11-10 15:22:37.937|2021-11-10 15:22:37.951|DBAAS-7198|
Subtask|Install Slack Client|DBAAS-6369|Julio Alcala|Derek Daigrepont|Medium|Done|Done|2021-08-05 13:57:05.580|2021-09-02 19:46:19.905||DBAAS-6349|2021-09-02 19:46:19.901|2021-09-02 19:46:19.905||
Subtask|Update GAL and Profile Information|DBAAS-6368|Julio Alcala|Derek Daigrepont|Medium|Done|Done|2021-08-05 13:57:05.187|2021-09-02 19:41:22.668||DBAAS-6349|2021-09-02 19:41:22.665|2021-09-02 19:41:22.669||
Subtask|Install the Zscaler tool|DBAAS-6355|Julio Alcala|Derek Daigrepont|Medium|Done|Done|2021-08-05 13:57:00.166|2021-08-12 14:09:13.155||DBAAS-6349|2021-08-12 14:09:13.149|2021-08-12 14:09:13.155||
