Continent,Country,Product,Date,Materials,Product,Volume
Europe,Svalbard and Jan Mayen,Silver ,2016/09/16,Lst_BUILDING_MATERIALS,slate,42.11
Europe,Belarus,magnesium ,2019/11/03,Lst_BUILDING_MATERIALS,marble,78.22
Oceania,Palau,pullovers ,2016/10/26,Lst_OTHER_MATERIALS,dust,84.41
Oceania,Tuvalu,seeds,2004/11/12,Lst_FABRICS,man-made fibres,80.18
Asia,Azerbaijan,Sugar ,2014/09/26,Lst_BUILDING_MATERIALS,concrete,34.64
Africa,Sudan,mercury,2012/06/16,Lst_BUILDING_MATERIALS,slate,94.65
Europe,Spain,Caps,2016/01/12,Lst_METALS,aluminium,33.28
Africa,Guinea-Bissau,copper,2004/05/06,Lst_BUILDING_MATERIALS,cement,44.04
Asia,Afghanistan,seeds,2014/11/12,Lst_OTHER_MATERIALS,charcoal,54.63
Americas,United States of America,safflower,2011/12/06,Lst_BUILDING_MATERIALS,marble,54.05
Africa,Niger,Alcohol  ,2013/04/11,Lst_METALS,iron,95.38
Asia,Syrian Arab Republic,Bananas,2019/05/23,Lst_FABRICS,nylon,35.96
Oceania,Marshall Islands,Bananas,2013/12/04,Lst_FABRICS,silk,73.24
Asia,"Palestine, State of",Diamonds,2019/03/14,Lst_METALS,platinum,83.31
Americas,Barbados,magnesium ,2015/09/14,Lst_FABRICS,cloth,65.95
Oceania,Niue,bronze  ,2012/07/25,Lst_METALS,steel,34.65
Asia,"Palestine, State of",Jewelry,2001/12/02,Lst_BUILDING_MATERIALS,concrete,83.55
Africa,Mayotte,uranium,2011/03/15,Lst_METALS,lead,81.18
Europe,Bosnia and Herzegovina,Bananas,2010/10/15,Lst_OTHER_MATERIALS,asbestos,39.76
Africa,Tunisia,mercury,2010/05/12,Lst_FABRICS,cloth,87.29
Asia,United Arab Emirates,Caps,2009/05/26,Lst_OTHER_MATERIALS,ice,75.0
Oceania,Tuvalu,aluminium ,2008/01/05,Lst_FABRICS,cloth,77.12
Americas,Guatemala,bronze  ,2017/08/19,Lst_METALS,steel,74.9
Europe,Belgium,Jewelry,2004/12/31,Lst_FABRICS,silk,42.76
Africa,Uganda,Beans,2015/09/23,Lst_FABRICS,man-made fibres,91.52
Oceania,American Samoa,Sugar ,2019/05/30,Lst_METALS,lead,32.36
Oceania,Northern Mariana Islands,Chocolate,2003/05/01,Lst_FABRICS,nylon,37.05
Americas,Haiti,aluminium ,2005/07/17,Lst_FABRICS,lace,34.06
Europe,Portugal,bronze  ,2001/05/22,Lst_FABRICS,nylon,78.96
Africa,Mayotte,Sugar ,2021/11/04,Lst_OTHER_MATERIALS,coal,46.87
Asia,Bhutan,Palm oil,2012/11/07,Lst_BUILDING_MATERIALS,concrete,96.66
Americas,Sint Maarten (Dutch part),Caps,2008/05/09,Lst_OTHER_MATERIALS,coal,49.52
Oceania,Niue,copper,2000/05/25,Lst_FABRICS,lace,47.57
Asia,China,Diamonds,2006/03/14,Lst_OTHER_MATERIALS,clay,44.0
Asia,Maldives,Bananas,2018/12/23,Lst_FABRICS,wool,63.54
Asia,Thailand,Rice,2015/12/06,Lst_METALS,nickel,36.67
Europe,Monaco,pullovers ,2004/05/29,Lst_FABRICS,cloth,64.21
Asia,Jordan,Chocolate,2005/06/25,Lst_METALS,nitrogen,71.87
Asia,Thailand,Bananas,2011/07/12,Lst_METALS,steel,34.52
Africa,Cabo Verde,Sugar ,2011/05/19,Lst_FABRICS,cotton,41.3
Oceania,Tuvalu,aluminium ,2002/10/20,Lst_METALS,uranium,41.35
Oceania,Solomon Islands,pullovers ,2002/10/14,Lst_OTHER_MATERIALS,water,81.85
Africa,Morocco,magnesium ,2005/11/27,Lst_OTHER_MATERIALS,ash,47.79
Oceania,French Polynesia,uranium,2016/05/10,Lst_FABRICS,man-made fibres,56.54
Asia,Israel,Coffee,2001/06/17,Lst_METALS,tin,72.34
Oceania,Wallis and Futuna,Diamonds,2004/07/13,Lst_FABRICS,linen,94.97
Americas,Belize,Corn,2014/12/13,Lst_METALS,brass,77.0
Americas,Grenada,Meat,2007/10/08,Lst_BUILDING_MATERIALS,BUILDING MATERIALS,99.29
Americas,Ecuador,Gold,2015/10/09,Lst_FABRICS,leather,66.35
Asia,Qatar,Meat,2004/08/04,Lst_METALS,gold,47.24
Oceania,Marshall Islands,fish,2019/09/06,Lst_METALS,magnesium,40.8
Asia,Jordan,Coffee,2018/05/04,Lst_BUILDING_MATERIALS,glass,36.15
Africa,Niger,uranium,2018/09/24,Lst_OTHER_MATERIALS,chalk,48.0
Asia,Bangladesh,Beans,2020/06/16,Lst_METALS,copper,93.97
Africa,Cabo Verde,copper,2011/09/11,Lst_FABRICS,polyester,33.22
Oceania,New Zealand,Bananas,2008/04/25,Lst_OTHER_MATERIALS,rubber,71.91
Oceania,Guam,Rice,2018/03/27,Lst_METALS,METALS,71.53
Asia,Singapore,iron,2005/06/15,Lst_METALS,lead,78.4
Asia,Lebanon,Sugar ,2008/02/16,Lst_BUILDING_MATERIALS,metal,98.98
Africa,Niger,pullovers ,2006/11/02,Lst_METALS,lead,30.91
Africa,Somalia,pullovers ,2001/12/11,Lst_OTHER_MATERIALS,charcoal,43.16
Asia,Maldives,Rice,2009/01/18,Lst_OTHER_MATERIALS,asbestos,64.43
Asia,Iran (Islamic Republic of),Diamonds,2004/10/12,Lst_METALS,hydrogen,95.65
Asia,Philippines,Silver ,2015/10/31,Lst_OTHER_MATERIALS,coal,37.47
Europe,Slovenia,Antibiotics ,2016/07/11,Lst_FABRICS,lace,46.19
Oceania,Samoa,aluminium ,2001/02/12,Lst_METALS,gold,93.6
Americas,Mexico,seeds,2013/11/15,Lst_BUILDING_MATERIALS,plastic,57.53
Asia,United Arab Emirates,Provitamins,2017/03/26,Lst_OTHER_MATERIALS,gas,47.33
Americas,Venezuela (Bolivarian Republic of),Alcohol  ,2020/10/26,Lst_OTHER_MATERIALS,paper,42.57
Africa,Djibouti,Meat,2013/08/12,Lst_BUILDING_MATERIALS,concrete,87.59
Americas,Saint Vincent and the Grenadines,iron,2007/12/02,Lst_FABRICS,silk,33.49
Africa,Guinea-Bissau,Jerseys,2012/01/10,Lst_OTHER_MATERIALS,ash,94.7
Oceania,Kiribati,Diamonds,2002/11/07,Lst_BUILDING_MATERIALS,wood,51.87
Europe,Malta,Alcohol  ,2014/01/09,Lst_FABRICS,nylon,99.35
Americas,Colombia,Provitamins,2003/11/09,Lst_FABRICS,polyester,77.09
Africa,Zimbabwe,pullovers ,2015/03/26,Lst_METALS,tin,61.84
Europe,Belgium,uranium,2005/08/17,Lst_METALS,helium,91.5
Asia,Mongolia,copper,2000/01/08,Lst_FABRICS,nylon,43.14
Asia,Malaysia,aluminium ,2003/12/02,Lst_FABRICS,polyester,58.53
Oceania,Fiji,T-shirts,2009/11/06,Lst_FABRICS,wool,64.36
Europe,Croatia,Meat,2018/06/16,Lst_METALS,carbon dioxide,72.68
Asia,Qatar,uranium,2012/07/18,Lst_METALS,platinum,76.78
Africa,Congo,seeds,2002/07/30,Lst_METALS,oxygen,40.43
Oceania,New Caledonia,Alcohol  ,2014/06/10,Lst_METALS,nickel,47.03
Americas,Mexico,Gold,2016/07/13,Lst_OTHER_MATERIALS,ash,56.81
Americas,Sint Maarten (Dutch part),iron,2008/05/01,Lst_FABRICS,linen,61.32
Asia,India,Rice,2019/02/04,Lst_OTHER_MATERIALS,oil,97.35
Oceania,Samoa,pullovers ,2003/06/18,Lst_BUILDING_MATERIALS,metal,63.34
Oceania,Cook Islands,iron,2004/07/15,Lst_BUILDING_MATERIALS,stone,94.86
Asia,Kyrgyzstan,Diamonds,2008/06/12,Lst_OTHER_MATERIALS,ice,62.33
Africa,Somalia,copper,2021/03/22,Lst_FABRICS,polyester,86.41
Africa,Ethiopia,Corn,2012/07/18,Lst_BUILDING_MATERIALS,cement,66.79
Africa,Tunisia,Antibiotics ,2012/02/07,Lst_FABRICS,lace,94.51
Europe,Isle of Man,mercury,2005/07/15,Lst_METALS,steel,31.94
Europe,Monaco,seeds,2004/12/23,Lst_METALS,alloy,57.93
Africa,Nigeria,Meat,2016/03/06,Lst_FABRICS,leather,39.45
Americas,Antigua and Barbuda,T-shirts,2002/09/13,Lst_BUILDING_MATERIALS,slate,97.04
Oceania,Tuvalu,Silver ,2017/05/10,Lst_METALS,iron,41.3
Oceania,Samoa,Cocoa beans,2006/08/18,Lst_BUILDING_MATERIALS,stone,65.87
Africa,Comoros,seeds,2010/08/07,Lst_FABRICS,wool,55.45
Europe,Spain,copper,2002/05/16,Lst_METALS,GASES,46.65
Oceania,Wallis and Futuna,iron,2003/12/20,Lst_BUILDING_MATERIALS,brick,55.69
Oceania,Nauru,Caps,2016/02/09,Lst_OTHER_MATERIALS,rubber,99.19
Africa,Angola,Alcohol  ,2019/06/15,Lst_BUILDING_MATERIALS,stone,38.4
Oceania,Cook Islands,Jewelry,2016/09/16,Lst_OTHER_MATERIALS,ice,36.3
Americas,"Bonaire, Sint Eustatius and Saba",Rice,2010/09/21,Lst_BUILDING_MATERIALS,sand,80.2
Americas,Barbados,Bananas,2010/06/28,Lst_METALS,lead,75.36
Americas,Costa Rica,iron,2020/12/09,Lst_FABRICS,leather,44.53
Oceania,French Polynesia,Rice,2016/09/20,Lst_BUILDING_MATERIALS,slate,50.71
Africa,Swaziland,Caps,2021/03/03,Lst_FABRICS,FABRICS,66.38
Americas,Costa Rica,mercury,2003/08/25,Lst_FABRICS,cloth,47.56
Americas,Barbados,Meat,2009/02/20,Lst_OTHER_MATERIALS,ice,35.81
Oceania,Palau,safflower,2012/05/25,Lst_FABRICS,man-made fibres,38.69
Asia,Korea (Democratic Peoples Republic of),Jerseys,2017/11/20,Lst_OTHER_MATERIALS,mud,86.95
Europe,Macedonia (the former Yugoslav Republic of),uranium,2019/11/16,Lst_FABRICS,polyester,74.56
Europe,Spain,uranium,2012/03/11,Lst_FABRICS,wool,95.88
Oceania,Tuvalu,Caps,2017/02/20,Lst_BUILDING_MATERIALS,plastic,98.57
Europe,Portugal,Alcohol  ,2014/08/04,Lst_BUILDING_MATERIALS,brick,59.15
Oceania,Papua New Guinea,iron,2020/01/19,Lst_METALS,steel,48.77
Oceania,New Caledonia,Rice,2001/02/03,Lst_METALS,carbon dioxide,48.46
Oceania,Guam,seeds,2009/08/08,Lst_METALS,steel,60.57
Africa,Cameroon,mercury,2020/07/11,Lst_BUILDING_MATERIALS,gravel,89.7
Asia,Malaysia,Beans,2002/01/12,Lst_METALS,helium,55.07
Europe,Spain,copper,2003/12/18,Lst_BUILDING_MATERIALS,brick,34.84
Americas,Uruguay,Sugar ,2003/06/12,Lst_FABRICS,wool,57.66
Europe,Ireland,pullovers ,2019/07/14,Lst_BUILDING_MATERIALS,concrete,84.5
Asia,Myanmar,Alcohol  ,2018/02/24,Lst_METALS,silver,58.57
Europe,Moldova (Republic of),Provitamins,2011/10/23,Lst_OTHER_MATERIALS,paper,56.43
Europe,Belarus,Rice,2003/12/29,Lst_FABRICS,linen,84.06
Asia,Macao,Coffee,2012/05/01,Lst_METALS,tin,40.14
Americas,"Bonaire, Sint Eustatius and Saba",Diamonds,2012/07/31,Lst_METALS,uranium,64.61
Africa,Mali,Jewelry,2011/05/30,Lst_METALS,aluminium,51.2
Europe,United Kingdom of Great Britain and Northern Ireland,Antibiotics ,2009/10/21,Lst_OTHER_MATERIALS,clay,67.45
Europe,Belgium,Diamonds,2010/07/02,Lst_BUILDING_MATERIALS,BUILDING MATERIALS,71.43
Americas,Paraguay,mercury,2015/10/14,Lst_METALS,GASES,30.56
Africa,Liberia,Chocolate,2012/05/12,Lst_BUILDING_MATERIALS,slate,37.02
Americas,United States of America,Coffee,2006/03/01,Lst_BUILDING_MATERIALS,gravel,69.36
Europe,Slovakia,Alcohol  ,2008/09/24,Lst_OTHER_MATERIALS,water,65.49
Oceania,American Samoa,magnesium ,2002/12/06,Lst_FABRICS,cotton,61.55
Oceania,Nauru,Antibiotics ,2009/05/28,Lst_METALS,oxygen,98.13
Africa,Zimbabwe,Corn,2020/01/19,Lst_FABRICS,FABRICS,98.7
Africa,Togo,uranium,2004/04/25,Lst_OTHER_MATERIALS,paraffin,88.81
Americas,Bolivia (Plurinational State of),Coffee,2016/01/16,Lst_FABRICS,lace,37.94
Europe,Malta,Silver ,2009/08/07,Lst_OTHER_MATERIALS,smoke,62.6
Americas,Paraguay,Beans,2004/07/21,Lst_METALS,brass,35.64
Africa,Gambia,Provitamins,2011/07/22,Lst_METALS,brass,39.89
Americas,Saint Martin (French part),Meat,2002/01/04,Lst_OTHER_MATERIALS,mud,99.39
Oceania,Tuvalu,Sugar ,2005/05/13,Lst_METALS,GASES,85.94
Europe,Denmark,safflower,2020/10/18,Lst_METALS,zinc,98.6
Oceania,Papua New Guinea,Chocolate,2020/03/07,Lst_BUILDING_MATERIALS,marble,48.71
Americas,Grenada,Jerseys,2021/09/03,Lst_FABRICS,FABRICS,72.71
Oceania,Northern Mariana Islands,Sugar ,2009/02/19,Lst_BUILDING_MATERIALS,cement,66.65
Africa,Liberia,Meat,2021/09/25,Lst_OTHER_MATERIALS,chalk,87.44
Asia,Brunei Darussalam,T-shirts,2004/04/25,Lst_METALS,aluminium,61.73
Americas,Antigua and Barbuda,Alcohol  ,2013/11/17,Lst_BUILDING_MATERIALS,glass,43.8
Asia,Iraq,Alcohol  ,2009/10/17,Lst_BUILDING_MATERIALS,glass,76.61
Africa,Namibia,pullovers ,2014/06/17,Lst_BUILDING_MATERIALS,wood,76.7
Oceania,Kiribati,magnesium ,2006/10/29,Lst_OTHER_MATERIALS,chalk,37.81
Asia,Turkmenistan,copper,2004/03/24,Lst_BUILDING_MATERIALS,stone,47.68
Asia,Hong Kong,Palm oil,2001/09/03,Lst_OTHER_MATERIALS,ash,89.54
Oceania,Palau,Chocolate,2003/09/29,Lst_METALS,oxygen,95.89
Oceania,Nauru,Provitamins,2015/04/02,Lst_FABRICS,linen,95.01
Africa,Madagascar,Antibiotics ,2010/01/12,Lst_FABRICS,linen,50.75
Oceania,New Zealand,iron,2020/07/21,Lst_FABRICS,FABRICS,43.26
Americas,Aruba,safflower,2015/02/28,Lst_METALS,iron,98.02
Asia,Kyrgyzstan,Chocolate,2009/07/08,Lst_BUILDING_MATERIALS,plastic,92.58
Oceania,Australia,Sugar ,2011/08/06,Lst_BUILDING_MATERIALS,gravel,44.16
Europe,Estonia,Diamonds,2014/09/28,Lst_FABRICS,cloth,33.02
Americas,Puerto Rico,mercury,2015/09/26,Lst_FABRICS,cotton,65.57
Americas,Cayman Islands,Sugar ,2000/08/27,Lst_OTHER_MATERIALS,mud,77.42
Asia,Japan,uranium,2011/09/24,Lst_BUILDING_MATERIALS,brick,68.25
Americas,Costa Rica,Antibiotics ,2003/02/01,Lst_OTHER_MATERIALS,asbestos,61.08
Asia,Israel,safflower,2006/08/03,Lst_BUILDING_MATERIALS,metal,88.4
Americas,Greenland,Diamonds,2021/07/25,Lst_METALS,uranium,71.04
Asia,Azerbaijan,Provitamins,2004/08/14,Lst_METALS,oxygen,96.62
Oceania,Australia,iron,2015/01/19,Lst_FABRICS,leather,86.87
Asia,Lao People s Democratic Republic,Silver ,2016/07/09,Lst_BUILDING_MATERIALS,marble,54.32
Europe,Serbia,Sugar ,2012/05/30,Lst_OTHER_MATERIALS,cardboard,31.64
Americas,Argentina,Jerseys,2007/05/20,Lst_METALS,bronze,55.86
Africa,Ghana,Caps,2013/05/01,Lst_BUILDING_MATERIALS,BUILDING MATERIALS,54.0
Oceania,Nauru,uranium,2009/01/13,Lst_OTHER_MATERIALS,clay,53.85
Europe,Switzerland,Antibiotics ,2004/03/31,Lst_BUILDING_MATERIALS,cement,54.58
Africa,Namibia,Cocoa beans,2017/01/18,Lst_FABRICS,nylon,43.61
Oceania,Norfolk Island,Jerseys,2004/12/30,Lst_FABRICS,silk,88.06
Oceania,Northern Mariana Islands,magnesium ,2015/08/04,Lst_OTHER_MATERIALS,OTHER MATERIALS,31.06
Africa,R̩union,aluminium ,2013/10/02,Lst_FABRICS,linen,61.88
Europe,Luxembourg,aluminium ,2021/03/15,Lst_METALS,gold,69.25
Africa,Angola,Bananas,2006/09/14,Lst_FABRICS,nylon,96.24
Europe,Slovenia,Sugar ,2010/01/15,Lst_METALS,platinum,42.99
Oceania,Vanuatu,Sugar ,2016/06/14,Lst_METALS,brass,74.77
Asia,Saudi Arabia,bronze  ,2019/01/14,Lst_FABRICS,linen,43.83
Oceania,Solomon Islands,Palm oil,2012/10/31,Lst_FABRICS,linen,58.51
Africa,Malawi,Antibiotics ,2015/07/29,Lst_FABRICS,lace,49.56
Africa,Mozambique,Silver ,2013/01/11,Lst_BUILDING_MATERIALS,cement,85.96
Europe,Moldova (Republic of),Meat,2004/09/25,Lst_OTHER_MATERIALS,paper,88.43
Asia,Uzbekistan,Gold,2020/08/29,Lst_OTHER_MATERIALS,asbestos,43.93
Europe,Slovenia,Coffee,2007/10/11,Lst_BUILDING_MATERIALS,stone,81.16
Oceania,Norfolk Island,bronze  ,2009/09/27,Lst_FABRICS,linen,67.69
Americas,"Bonaire, Sint Eustatius and Saba",pullovers ,2004/02/02,Lst_METALS,iron,72.82
Europe,Belarus,copper,2013/05/23,Lst_FABRICS,cloth,94.27
Oceania,American Samoa,bronze  ,2019/11/16,Lst_FABRICS,cotton,62.82
Americas,Argentina,Coffee,2006/05/09,Lst_OTHER_MATERIALS,smoke,94.56
Americas,Bermuda,iron,2015/09/12,Lst_OTHER_MATERIALS,gas,40.76
Asia,Brunei Darussalam,Corn,2016/08/23,Lst_BUILDING_MATERIALS,slate,92.15
Oceania,Marshall Islands,Palm oil,2000/06/27,Lst_METALS,alloy,31.22
Africa,Central African Republic,Meat,2012/12/30,Lst_OTHER_MATERIALS,chalk,92.68
Europe,Slovenia,Chocolate,2017/02/13,Lst_METALS,nitrogen,67.55
Oceania,Norfolk Island,Gold,2013/04/19,Lst_FABRICS,FABRICS,57.27
Americas,Nicaragua,Gold,2000/01/04,Lst_BUILDING_MATERIALS,metal,31.23
Europe,United Kingdom of Great Britain and Northern Ireland,uranium,2016/11/11,Lst_OTHER_MATERIALS,cardboard,92.56
Oceania,Tonga,magnesium ,2018/05/28,Lst_METALS,helium,60.61
Africa,Burkina Faso,mercury,2012/11/24,Lst_OTHER_MATERIALS,water,42.22
Americas,French Guiana,seeds,2015/01/15,Lst_METALS,GASES,91.75
Asia,Philippines,uranium,2005/09/01,Lst_FABRICS,lace,34.25
Oceania,Papua New Guinea,Bananas,2004/10/22,Lst_OTHER_MATERIALS,coal,54.21
Americas,Canada,magnesium ,2020/06/24,Lst_METALS,METALS,87.89
Asia,Azerbaijan,Gold,2021/08/25,Lst_BUILDING_MATERIALS,glass,69.08
Europe,Slovenia,Sugar ,2008/04/10,Lst_FABRICS,lace,40.38
Americas,Grenada,Chocolate,2016/01/13,Lst_FABRICS,polyester,44.73
Americas,Sint Maarten (Dutch part),Chocolate,2006/01/06,Lst_METALS,silver,40.39
Americas,Montserrat,pullovers ,2011/03/18,Lst_FABRICS,FABRICS,63.56
Oceania,Wallis and Futuna,bronze  ,2021/02/22,Lst_FABRICS,silk,88.66
Americas,"Bonaire, Sint Eustatius and Saba",Diamonds,2014/01/09,Lst_METALS,aluminium,57.28
Europe,Belgium,bronze  ,2010/04/07,Lst_METALS,mercury,45.22
Africa,Libya,bronze  ,2011/01/21,Lst_METALS,helium,91.65
Asia,Pakistan,fish,2013/01/02,Lst_OTHER_MATERIALS,fibreglass,65.09
Africa,Botswana,T-shirts,2005/03/23,Lst_OTHER_MATERIALS,fibreglass,51.66
Asia,Georgia,iron,2016/12/03,Lst_OTHER_MATERIALS,oil,63.61
Europe,Denmark,pullovers ,2009/08/25,Lst_METALS,uranium,44.46
Europe,Netherlands,Beans,2009/03/05,Lst_FABRICS,cotton,71.92
Oceania,New Zealand,Caps,2000/06/04,Lst_FABRICS,lace,42.31
Oceania,French Polynesia,seeds,2021/02/07,Lst_BUILDING_MATERIALS,plastic,93.47
Africa,Lesotho,Gold,2001/11/17,Lst_FABRICS,FABRICS,52.72
Asia,United Arab Emirates,Diamonds,2014/04/09,Lst_FABRICS,lace,97.13
Asia,Yemen,fish,2013/06/09,Lst_FABRICS,silk,47.81
Asia,Kyrgyzstan,Antibiotics ,2018/09/14,Lst_FABRICS,leather,32.59
Oceania,Tuvalu,magnesium ,2008/07/24,Lst_BUILDING_MATERIALS,wood,67.39
Europe,Liechtenstein,Diamonds,2019/08/26,Lst_BUILDING_MATERIALS,slate,54.87
Africa,Sierra Leone,iron,2020/08/16,Lst_METALS,aluminium,42.02
Asia,Timor-Leste,Caps,2010/02/20,Lst_OTHER_MATERIALS,gas,88.91
Asia,Indonesia,iron,2020/06/07,Lst_BUILDING_MATERIALS,concrete,83.86
Americas,Saint Lucia,Beans,2011/07/04,Lst_BUILDING_MATERIALS,wood,41.6
Oceania,New Zealand,Bananas,2006/11/03,Lst_METALS,platinum,92.63
Africa,Zimbabwe,fish,2005/04/25,Lst_METALS,gold,98.71
Oceania,Cook Islands,Silver ,2017/09/22,Lst_FABRICS,FABRICS,77.23
Oceania,Guam,Sugar ,2006/03/16,Lst_OTHER_MATERIALS,mud,52.66
Americas,Sint Maarten (Dutch part),Caps,2020/01/19,Lst_METALS,carbon dioxide,66.33
Americas,Ecuador,pullovers ,2009/01/14,Lst_OTHER_MATERIALS,soil,46.37
Asia,Azerbaijan,Caps,2018/12/09,Lst_BUILDING_MATERIALS,slate,77.6
Europe,Jersey,Caps,2016/03/03,Lst_OTHER_MATERIALS,water,88.08
Oceania,Australia,Jerseys,2008/04/13,Lst_BUILDING_MATERIALS,glass,51.75
Africa,Rwanda,Sugar ,2001/09/18,Lst_FABRICS,leather,60.19
Americas,Panama,Beans,2014/11/01,Lst_METALS,silver,68.5
Americas,Cura̤ao,iron,2001/05/21,Lst_OTHER_MATERIALS,charcoal,94.55
Asia,Kuwait,Corn,2011/06/15,Lst_OTHER_MATERIALS,soil,62.86
Europe,Romania,Bananas,2005/04/29,Lst_BUILDING_MATERIALS,slate,95.42
Europe,Malta,Caps,2013/10/27,Lst_FABRICS,cloth,91.27
Asia,"Palestine, State of",Corn,2005/03/31,Lst_BUILDING_MATERIALS,wood,61.58
Asia,Lao People s Democratic Republic,seeds,2003/08/28,Lst_FABRICS,FABRICS,78.01
Africa,Burundi,Gold,2010/03/31,Lst_OTHER_MATERIALS,ash,52.99
Africa,Congo,pullovers ,2021/05/11,Lst_FABRICS,linen,92.83
Oceania,Micronesia (Federated States of),safflower,2001/12/23,Lst_OTHER_MATERIALS,petrol,36.73
Americas,Falkland Islands (Malvinas),Rice,2008/02/03,Lst_METALS,nitrogen,77.89
